Date,Open,High,Low,Close,Volume
2020-01-01,679.0819971118469,683.1529137163456,673.490123328754,675.32421875,14004468
2020-01-02,676.3978391555818,689.3487293284268,676.3978391555818,686.8211669921875,17710316
2020-01-03,685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698
2020-01-06,679.9767186772816,683.5107670428088,670.13493269889,671.70068359375,24519177
2020-01-07,679.5293205694625,686.4633346701793,677.0688889990518,682.0345458984375,16683622
2020-01-08,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902
2020-01-09,688.2973844806929,693.3971829755997,685.009343930029,692.5025024414062,14982742
2020-01-10,694.2472957890357,696.9537946408119,688.7672268918529,692.3460693359375,12478359
2020-01-13,691.182918802657,697.2892636445985,688.2080160085029,690.5789794921875,18282382
2020-01-14,688.9238120878065,693.3973351908096,680.8043754201078,684.181884765625,15816535
2020-01-15,687.0672990416617,688.8790573291237,679.1938699492092,681.6990356445312,15817859
2020-01-16,684.0029251254354,690.4224084594933,683.55552505049,687.9843139648438,12847975
2020-01-17,694.9630411899628,709.0322829800654,694.8288390890643,707.2652587890625,29463471
2020-01-20,719.7910841112327,719.7910841112327,682.8397004859988,685.50146484375,32545850
2020-01-21,683.8240435553602,691.5408742450458,680.8714775601642,686.1950073242188,18922720
2020-01-22,690.7131763493682,691.9433921150559,684.9423069375898,685.9488525390625,10322817
2020-01-23,687.3581232334355,689.796218032275,680.2899656476081,683.0411987304688,11247739
2020-01-24,683.1081395891008,687.2909208972738,679.3280242942884,680.6701049804688,14628445
2020-01-27,677.6952802850295,681.9674704241261,673.2664314282462,673.9598388671875,13387750
2020-01-28,674.8769082130656,675.5032444510476,654.7460541997162,658.3919677734375,24532236
2020-01-29,659.4207487202938,668.5243925324733,654.9472262974796,662.0154418945312,24746565
2020-01-30,661.6352224321117,661.9483606637074,644.1884717288344,645.8660278320312,22402689
2020-01-31,650.004074503463,650.115939458839,629.5153479649114,631.5060424804688,34750310
2020-02-03,612.8290505582687,626.2720164126083,609.7646795449248,619.8077392578125,30712290
2020-02-04,626.2942886767648,640.8332667548419,625.310139999637,638.1044311523438,25383901
2020-02-05,641.9069587229454,649.9145900708021,639.8491930659694,647.990966796875,18472100
2020-02-06,650.496207815146,656.267018049872,644.2332634474068,652.1513671875,15538577
2020-02-07,649.109342186217,649.7132815022266,638.9544179355763,641.3477783203125,12209212
2020-02-10,638.8202476362594,646.6489428047836,630.9692153123326,642.2201538085938,15142476
2020-02-11,647.4988515504008,655.9090886918525,646.4475719077193,649.8922119140625,13999816
2020-02-12,651.4132707150139,659.7787743619559,650.8987994375913,657.7432861328125,13533565
2020-02-13,661.076061195236,661.076061195236,654.2986456938107,659.465576171875,13565659
2020-02-14,660.8524216851458,671.6783575404241,650.0488229864293,665.4825439453125,21227841
2020-02-17,666.108801931165,673.7808982963232,659.5327193324579,661.2997436523438,13149130
2020-02-18,660.248373884015,660.248373884015,651.9723392868693,656.4458618164062,11127161
2020-02-19,661.7917537765035,673.9150349477495,659.8905275306022,672.7295532226562,14084409
2020-02-20,669.687583672214,674.6084467350322,663.7825121618259,664.7443237304688,16892268
2020-02-24,657.4971707893623,660.7404777544862,643.9871345353313,646.40283203125,21370214
2020-02-25,649.2882495489266,649.2882495489266,630.7678229370605,633.6309204101562,27745062
2020-02-26,630.7678804610105,631.8191601622372,620.6353526146177,622.7155151367188,29362748
2020-02-27,620.9261263497503,623.520820005058,612.4264202255112,620.143310546875,25054993
2020-02-28,606.1186214911856,607.0580958283585,592.7427884250544,594.3756103515625,39315769
2020-03-02,606.2081051825395,612.4263145698782,582.0510718430629,588.7837524414062,29500495
2020-03-03,594.8453531423023,605.6712869241514,591.4007134151205,600.72802734375,27398798
2020-03-04,604.8213738082619,605.6265863851147,585.0930684252744,599.3189086914062,22105261
2020-03-05,604.9108873026663,607.4831839260905,584.2431656944867,586.5470581054688,30510390
2020-03-06,568.1383530699313,576.2578480858582,555.2098603549766,568.585693359375,33734039
2020-03-09,554.7401888514859,555.1651920392663,489.85165057435484,498.41845703125,88187018
2020-03-11,495.6671803789598,527.1832005807552,495.6671803789598,516.0441284179688,59578576
2020-03-12,485.37810154536595,492.5357258130127,469.1391701914128,475.53631591796875,55970485
2020-03-13,446.45836059532905,509.982477758339,421.5855519763993,494.4593505859375,73297403
2020-03-16,474.4403385952524,483.00714524632815,449.58986531183916,454.3765563964844,38482258
